# Frequency (MHz)    Flux_DM (s.f.u.)
1000.00000000000000    7.17848669193389
1001.95503421309877    7.18816793813219
1003.91006842619743    7.19778006140503
1005.86510263929620    7.20732287513300
1007.82013685239497    7.21679619361387
1009.77517106549362    7.22619983206260
1011.73020527859239    7.23553360661130
1013.68523949169105    7.24479733430930
1015.64027370478982    7.25399083312308
1017.59530791788859    7.26311392193634
1019.55034213098725    7.27216642054992
1021.50537634408602    7.28114814968186
1023.46041055718479    7.29005893096739
1025.41544477028356    7.29889858695891
1027.37047898338210    7.30766694112601
1029.32551319648087    7.31636381785544
1031.28054740957964    7.32498904245116
1033.23558162267841    7.33354244113430
1035.19061583577718    7.34202384104317
1037.14565004887595    7.35043307023325
1039.10068426197449    7.35876995767724
1041.05571847507326    7.36703433326498
1043.01075268817203    7.37522602780350
1044.96578690127080    7.38334487301703
1046.92082111436957    7.39139070154697
1048.87585532746834    7.39936334695189
1050.83088954056689    7.40726264370757
1052.78592375366566    7.41508842720696
1054.74095796676443    7.42284053376016
1056.69599217986320    7.43051880059450
1058.65102639296197    7.43812306585447
1060.60606060606051    7.44565316860173
1062.56109481915928    7.45310894881514
1064.51612903225805    7.46049024739073
1066.47116324535682    7.46779690614173
1068.42619745845559    7.47502876779852
1070.38123167155436    7.48218567600869
1072.33626588465290    7.48926747533700
1074.29130009775167    7.49627401126538
1076.24633431085044    7.50320513019299
1078.20136852394921    7.51006067943609
1080.15640273704798    7.51684050722820
1082.11143695014653    7.52354446271997
1084.06647116324530    7.53017239597926
1086.02150537634407    7.53672415799111
1087.97653958944284    7.54319960065773
1089.93157380254161    7.54959857679850
1091.88660801564038    7.55592094015001
1093.84164222873892    7.56216654536601
1095.79667644183769    7.56833524801746
1097.75171065493646    7.57442690459246
1099.70674486803523    7.58044137249632
1101.66177908113400    7.58860963391539
1103.61681329423254    7.59696122413556
1105.57184750733131    7.60524878311508
1107.52688172043008    7.61347217555460
1109.48191593352885    7.62163126691910
1111.43695014662762    7.62972592343783
1113.39198435972639    7.63775601210436
1115.34701857282494    7.64572140067657
1117.30205278592371    7.65362195767662
1119.25708699902248    7.66145755239098
1121.21212121212125    7.66922805487043
1123.16715542522002    7.67693333593004
1125.12218963831856    7.68457326714916
1127.07722385141733    7.69214772087150
1129.03225806451610    7.69965657020502
1130.98729227761487    7.70709968902200
1132.94232649071364    7.71447695195901
1134.89736070381241    7.72178823441694
1136.85239491691095    7.72903341256096
1138.80742913000972    7.73621236332056
1140.76246334310849    7.74332496438951
1142.71749755620726    7.75037109422590
1144.67253176930603    7.75735063205212
1146.62756598240458    7.76426345785484
1148.58260019550335    7.77110945238506
1150.53763440860212    7.77788849715806
1152.49266862170089    7.78460047445344
1154.44770283479966    7.79124526731507
1156.40273704789843    7.79782275955116
1158.35777126099720    7.80433283573418
1160.31280547409574    7.81077538120094
1162.26783968719451    7.81715028205254
1164.22287390029328    7.82345742515434
1166.17790811339205    7.82969669813608
1168.13294232649059    7.83586798939172
1170.08797653958936    7.84197118807957
1172.04301075268813    7.84800618412224
1173.99804496578690    7.85397286820661
1175.95307917888567    7.85987113178390
1177.90811339198444    7.86570086706960
1179.86314760508321    7.87146196704351
1181.81818181818176    7.87715432544975
1183.77321603128053    7.88277783679671
1185.72825024437930    7.88833239635710
1187.68328445747807    7.89381790016793
1189.63831867057684    7.89923424503050
1191.59335288367538    7.90458132851043
1193.54838709677415    7.90985904893762
1195.50342130987292    7.91506730540629
1197.45845552297169    7.92020599777495
1199.41348973607046    7.92527502666641
1201.36852394916923    7.93201292607298
1203.32355816226777    7.93912504141537
1205.27859237536654    7.94617766238447
1207.23362658846531    7.95317069095521
1209.18866080156408    7.96010402974921
1211.14369501466285    7.96697758203487
1213.09872922776140    7.97379125172729
1215.05376344086017    7.98054494338829
1217.00879765395894    7.98723856222647
1218.96383186705771    7.99387201409711
1220.91886608015648    8.00044520550224
1222.87390029325525    8.00695804359063
1224.82893450635379    8.01341043615779
1226.78396871945256    8.01980229164593
1228.73900293255133    8.02613351914401
1230.69403714565010    8.03240402838774
1232.64907135874887    8.03861372975952
1234.60410557184741    8.04476253428853
1236.55913978494618    8.05085035365063
1238.51417399804495    8.05687710016846
1240.46920821114372    8.06284268681136
1242.42424242424249    8.06874702719541
1244.37927663734126    8.07459003558342
1246.33431085043981    8.08037162688495
1248.28934506353858    8.08609171665627
1250.24437927663735    8.09175022110038
1252.19941348973612    8.09734705706703
1254.15444770283489    8.10288214205269
1256.10948191593343    8.10835539420057
1258.06451612903220    8.11376673230058
1260.01955034213097    8.11911607578942
1261.97458455522974    8.12440334475047
1263.92961876832851    8.12962845991386
1265.88465298142728    8.13479134265646
1267.83968719452605    8.13989191500187
1269.79472140762459    8.14493009962039
1271.74975562072336    8.14990581982910
1273.70478983382213    8.15481899959179
1275.65982404692090    8.15966956351896
1277.61485826001945    8.16445743686788
1279.56989247311822    8.16918254554254
1281.52492668621699    8.17384481609363
1283.47996089931576    8.17844417571863
1285.43499511241453    8.18298055226169
1287.39002932551330    8.18745387421373
1289.34506353861207    8.19186407071241
1291.30009775171061    8.19621107154208
1293.25513196480938    8.20049480713385
1295.21016617790815    8.20471520856558
1297.16520039100692    8.20887220756181
1299.12023460410546    8.21296573649386
1301.07526881720423    8.21833764647166
1303.03030303030300    8.22422796600233
1304.98533724340177    8.23006273589637
1306.94037145650054    8.23584188623918
1308.89540566959931    8.24156534767049
1310.85043988269808    8.24723305138434
1312.80547409579663    8.25284492912908
1314.76050830889540    8.25840091320740
1316.71554252199417    8.26390093647629
1318.67057673509294    8.26934493234706
1320.62561094819148    8.27473283478534
1322.58064516129025    8.28006457831107
1324.53567937438902    8.28534009799852
1326.49071358748779    8.29055932947626
1328.44574780058656    8.29572220892721
1330.40078201368533    8.30082867308856
1332.35581622678410    8.30587865925187
1334.31085043988264    8.31087210526297
1336.26588465298141    8.31580894952203
1338.22091886608018    8.32068913098354
1340.17595307917895    8.32551258915630
1342.13098729227750    8.33027926410344
1344.08602150537627    8.33498909644237
1346.04105571847504    8.33964202734488
1347.99608993157381    8.34423799853701
1349.95112414467258    8.34877695229917
1351.90615835777135    8.35325883146607
1353.86119257087012    8.35768357942671
1355.81622678396866    8.36205114012446
1357.77126099706743    8.36636145805696
1359.72629521016620    8.37061447827619
1361.68132942326497    8.37481014638844
1363.63636363636351    8.37894840855434
1365.59139784946228    8.38302921148880
1367.54643206256105    8.38705250246106
1369.50146627565982    8.39101822929470
1371.45650048875859    8.39492634036760
1373.41153470185736    8.39877678461195
1375.36656891495613    8.40256951151427
1377.32160312805468    8.40630447111538
1379.27663734115345    8.40998161401045
1381.23167155425222    8.41360089134893
1383.18670576735099    8.41716225483462
1385.14173998044953    8.42066565672561
1387.09677419354830    8.42411104983433
1389.05180840664707    8.42749838752751
1391.00684261974584    8.43082762372621
1392.96187683284461    8.43409871290579
1394.91691104594338    8.43731161009595
1396.87194525904215    8.44046627088069
1398.82697947214069    8.44356265139834
1400.78201368523946    8.44761845905403
1402.73704789833823    8.45229945495294
1404.69208211143700    8.45692835417888
1406.64711632453555    8.46150510836745
1408.60215053763432    8.46602966963468
1410.55718475073309    8.47050199057701
1412.51221896383186    8.47492202427135
1414.46725317693063    8.47928972427500
1416.42228739002940    8.48360504462573
1418.37732160312817    8.48786793984172
1420.33235581622671    8.49207836492160
1422.28739002932548    8.49623627534442
1424.24242424242425    8.50034162706966
1426.19745845552302    8.50439437653725
1428.15249266862179    8.50839448066754
1430.10752688172033    8.51234189686132
1432.06256109481910    8.51623658299980
1434.01759530791787    8.52007849744465
1435.97262952101664    8.52386759903794
1437.92766373411541    8.52760384710219
1439.88269794721418    8.53128720144035
1441.83773216031295    8.53491762233582
1443.79276637341150    8.53849507055240
1445.74780058651027    8.54201950733434
1447.70283479960904    8.54549089440634
1449.65786901270781    8.54890919397351
1451.61290322580635    8.55227436872138
1453.56793743890512    8.55558638181597
1455.52297165200389    8.55884519690366
1457.47800586510266    8.56205077811132
1459.43304007820143    8.56520309004622
1461.38807429130020    8.56830209779608
1463.34310850439897    8.57134776692905
1465.29814271749751    8.57434006349371
1467.25317693059628    8.57727895401906
1469.20821114369505    8.58016440551457
1471.16324535679382    8.58299638547011
1473.11827956989237    8.58577486185599
1475.07331378299114    8.58849980312295
1477.02834799608991    8.59117117820218
1478.98338220918868    8.59378895650529
1480.93841642228745    8.59635310792432
